"Path_len","Reached"
"35.199999999999996","T"
"29.6","T"
"26.3","T"
"33.199999999999996","F"
"30.6","T"
"30.0","T"
"29.900000000000002","T"
"29.599999999999998","F"
"30.200000000000003","T"
"30.5","T"
"29.499999999999993","T"
"31.900000000000002","T"
"27.8","T"
"30.099999999999998","T"
"33.6","F"
"36.5","T"
"26.4","T"
"30.499999999999996","F"
"33.199999999999996","T"
"29.0","T"
"27.1","F"
"26.6","T"
"36.800000000000004","T"
"26.1","T"
"28.3","T"
"29.400000000000002","F"
"25.599999999999998","T"
"34.3","T"
"29.3","F"
"27.5","T"
"33.4","F"
"30.500000000000004","T"
"32.8","T"
"29.599999999999998","T"
"29.5","T"
"26.9","T"
"27.6","T"
"30.0","T"
"30.499999999999996","T"
"25.900000000000002","T"
"27.6","T"
"28.9","T"
"33.699999999999996","T"
"38.3","T"
"28.1","F"
"28.800000000000004","T"
"30.1","F"
"37.699999999999996","T"
"30.800000000000004","T"
"26.7","T"
"34.6","F"
"31.900000000000006","T"
"34.7","T"
"30.0","F"
"26.900000000000002","T"
"30.5","T"
"29.0","T"
"30.7","T"
"25.099999999999998","T"
"27.099999999999998","T"
"30.900000000000006","T"
"32.9","F"
"33.6","T"
"28.000000000000007","F"
"26.999999999999996","T"
"34.0","T"
"35.1","F"
"25.199999999999996","F"
"29.1","F"
"25.5","F"
"31.5","T"
"28.9","T"
"32.9","F"
"35.1","F"
"26.2","T"
"39.599999999999994","T"
"30.7","F"
"29.1","T"
"30.400000000000006","T"
"26.8","F"
"29.9","T"
"31.2","T"
"25.5","F"
"36.6","T"
"29.299999999999997","T"
"29.9","T"
"28.800000000000004","T"
"32.400000000000006","T"
"28.700000000000003","T"
"26.700000000000003","T"
"28.7","T"
"27.0","T"
"28.200000000000003","T"
"26.100000000000005","T"
"32.0","F"
"27.4","T"
"25.5","T"
"35.8","F"
"31.9","T"
"31.799999999999997","T"
"25.900000000000002","T"
"34.5","T"
"32.0","T"
"30.6","T"
"26.699999999999996","T"
"33.699999999999996","T"
"29.6","T"
"31.799999999999997","T"
"25.9","F"
"28.6","T"
"28.499999999999996","T"
"30.400000000000002","T"
"35.8","T"
"33.199999999999996","F"
"37.49999999999999","T"
"28.0","T"
"33.9","T"
"29.500000000000004","F"
"25.1","T"
"31.400000000000006","F"
"28.900000000000002","T"
"31.299999999999997","T"
"29.4","T"
"30.700000000000003","T"
"28.2","T"
"32.50000000000001","T"
