"Path_len","Reached"
"25.599999999999998","T"
"31.3","T"
"30.4","F"
"28.9","F"
"32.1","T"
"33.800000000000004","T"
"27.700000000000003","T"
"28.500000000000004","T"
"27.600000000000005","F"
"30.6","T"
"30.8","T"
"31.5","T"
"30.6","T"
"30.1","F"
"28.800000000000004","T"
"25.700000000000003","T"
"35.0","T"
"34.400000000000006","T"
"27.599999999999998","T"
"29.1","T"
"32.800000000000004","T"
"27.599999999999998","F"
"28.599999999999998","F"
"32.400000000000006","T"
"30.299999999999997","F"
"35.5","T"
"35.5","T"
"26.799999999999997","T"
"26.799999999999997","T"
"35.6","F"
"32.8","T"
"32.9","F"
"34.800000000000004","T"
"32.0","T"
"28.1","T"
"30.899999999999995","T"
"31.9","T"
"32.2","F"
"31.0","T"
"28.0","T"
"33.0","T"
"36.9","T"
"26.100000000000005","T"
"37.699999999999996","T"
"31.2","T"
"29.599999999999994","T"
"31.0","T"
"28.299999999999997","T"
"29.1","T"
"26.9","T"
"26.6","F"
"27.999999999999996","T"
"24.8","F"
"26.2","T"
"29.699999999999996","T"
"27.199999999999996","T"
"28.1","T"
"32.7","T"
"29.900000000000002","F"
"30.099999999999998","T"
"29.599999999999994","T"
"37.3","T"
"31.099999999999994","T"
"25.3","T"
"32.8","T"
"30.4","T"
"29.7","T"
"29.400000000000006","F"
"27.700000000000003","T"
"30.6","T"
"34.5","F"
"25.700000000000003","T"
"33.699999999999996","T"
"31.000000000000004","F"
"27.1","F"
"27.5","T"
"28.5","T"
"26.599999999999998","T"
"26.200000000000003","T"
"28.3","T"
"27.099999999999998","T"
"31.200000000000003","T"
"25.5","T"
"27.9","T"
"35.699999999999996","T"
"28.6","T"
"28.299999999999997","F"
"35.2","T"
"26.899999999999995","F"
"28.100000000000005","F"
"30.499999999999993","F"
"34.699999999999996","T"
"30.6","T"
"33.300000000000004","F"
"34.900000000000006","F"
"30.0","F"
"31.8","T"
"27.2","T"
"32.400000000000006","T"
"32.2","T"
"27.700000000000003","T"
"28.300000000000004","T"
"32.699999999999996","T"
"31.699999999999996","T"
"25.200000000000003","F"
"31.000000000000004","T"
"27.299999999999997","F"
"38.0","T"
"29.800000000000004","F"
"25.700000000000003","T"
"27.099999999999998","T"
"33.1","F"
"29.2","T"
"34.00000000000001","F"
"25.9","T"
"29.9","T"
"33.2","T"
"25.599999999999998","F"
"30.299999999999997","F"
"26.100000000000005","T"
"33.7","T"
"32.199999999999996","T"
"26.0","T"
"27.099999999999998","T"
"28.400000000000006","F"
"30.200000000000003","F"
"33.7","F"
"32.4","F"
"31.5","T"
"24.9","T"
"28.9","T"
"25.9","T"
"28.100000000000005","T"
"27.9","T"
"25.4","T"
"28.0","T"
"26.599999999999998","T"
"29.999999999999996","T"
"28.099999999999998","T"
"28.3","T"
"29.799999999999997","T"
"29.099999999999998","F"
"25.5","T"
"26.9","T"
"27.000000000000004","T"
"26.299999999999997","F"
"30.10000000000001","T"
"28.800000000000004","T"
"31.299999999999997","T"
"30.900000000000002","T"
"28.999999999999996","T"
"25.900000000000006","F"
"31.700000000000003","T"
"28.800000000000004","T"
"32.800000000000004","T"
"33.699999999999996","T"
"37.300000000000004","T"
"29.200000000000003","T"
"28.599999999999998","T"
"26.400000000000006","T"
"28.6","T"
"28.9","T"
"28.599999999999998","T"
"38.400000000000006","F"
"30.200000000000003","T"
"29.7","T"
"30.0","T"
"28.8","T"
"25.799999999999994","T"
"28.0","T"
"28.499999999999996","T"
"36.699999999999996","F"
"29.500000000000004","T"
"30.699999999999996","T"
"30.6","T"
"28.700000000000006","T"
"31.5","F"
"26.499999999999996","T"
"32.9","T"
"36.099999999999994","T"
"28.0","T"
"28.3","T"
"27.2","T"
"26.9","T"
"29.5","T"
"32.5","F"
"30.399999999999995","T"
"26.100000000000005","T"
"28.1","T"
"33.400000000000006","T"
"31.999999999999996","T"
"35.5","T"
"31.7","T"
"26.5","T"
"34.1","T"
"27.400000000000006","T"
"26.099999999999998","T"
"30.000000000000004","T"
"32.9","T"
"28.4","F"
"28.200000000000003","T"
"30.699999999999996","T"
"26.900000000000002","T"
"28.0","T"
"28.2","F"
"34.6","F"
"29.599999999999998","T"
"34.1","T"
"26.3","T"
"36.0","T"
"28.1","T"
"33.6","T"
"29.700000000000003","T"
"25.900000000000006","T"
"30.900000000000002","T"
"27.7","T"
"29.200000000000003","T"
"30.0","T"
"30.4","F"
"25.599999999999998","F"
"30.9","T"
"27.299999999999997","T"
"31.500000000000007","F"
"28.800000000000004","T"
"25.900000000000002","T"
"33.7","T"
"24.3","F"
"30.5","F"
"30.6","T"
"30.8","T"
"29.1","T"
"28.400000000000006","T"
"31.5","F"
"27.6","T"
"29.599999999999998","T"
"30.7","T"
"29.500000000000004","T"
"31.799999999999997","F"
"26.7","T"
"30.6","T"
"31.599999999999998","T"
"26.200000000000003","T"
"26.5","T"
"30.799999999999997","F"
"28.6","T"
"27.3","T"
"26.6","T"
"28.9","F"
"35.1","T"
"34.8","F"
"29.000000000000004","T"
"28.5","T"
"31.799999999999997","F"
"33.5","T"
"29.9","T"
"29.200000000000003","T"
"30.199999999999996","F"
"28.900000000000002","T"
"30.1","T"
"30.2","T"
"27.200000000000006","T"
"27.700000000000003","F"
"30.0","T"
"26.799999999999997","T"
"30.5","T"
"29.900000000000006","F"
"28.800000000000004","T"
"29.7","T"
"31.900000000000002","T"
"33.5","T"
"31.099999999999998","T"
"33.4","T"
"28.7","T"
"30.8","T"
"33.599999999999994","T"
"25.900000000000002","F"
"29.4","F"
"28.5","F"
"26.9","T"
"26.1","T"
"26.1","T"
"28.799999999999997","F"
"31.5","T"
"27.299999999999997","T"
"30.699999999999996","F"
"25.5","T"
"33.2","F"
"31.9","F"
"34.7","T"
"29.499999999999996","T"
"29.4","T"
"28.799999999999997","T"
"29.700000000000003","T"
"31.200000000000003","T"
"26.4","T"
"25.699999999999996","T"
"26.1","T"
"30.599999999999998","T"
"26.4","T"
"30.800000000000004","F"
"27.700000000000003","T"
"36.6","T"
"35.699999999999996","T"
"28.700000000000003","T"
"35.900000000000006","T"
"26.599999999999998","T"
"29.7","T"
"27.599999999999998","T"
"33.1","T"
"27.700000000000003","T"
"30.299999999999997","T"
"26.099999999999998","T"
"29.5","T"
"29.5","T"
"26.900000000000002","T"
"26.900000000000002","T"
"35.599999999999994","T"
"26.099999999999998","T"
"29.39999999999999","T"
"32.1","F"
"29.4","F"
"26.8","T"
"30.200000000000003","T"
"36.3","T"
"29.2","T"
"37.5","F"
"26.599999999999998","T"
"27.2","F"
"33.9","T"
"26.899999999999995","T"
"28.899999999999995","T"
"29.700000000000003","T"
"26.0","T"
"27.400000000000002","F"
"31.599999999999998","T"
"33.6","F"
"27.800000000000004","T"
"34.0","T"
"31.5","T"
"31.900000000000002","F"
"29.300000000000004","T"
"30.999999999999996","T"
"28.5","T"
"26.5","T"
"27.0","F"
"29.7","T"
"34.900000000000006","T"
"29.6","T"
"27.300000000000004","T"
"30.5","T"
"25.800000000000004","T"
"29.3","T"
"34.300000000000004","T"
"28.9","T"
"30.999999999999996","F"
"25.5","T"
"28.8","T"
"27.6","T"
"30.599999999999998","T"
"25.299999999999997","F"
"32.0","T"
"33.3","T"
"31.2","F"
"32.00000000000001","T"
"27.1","T"
"37.199999999999996","T"
"34.2","F"
"30.900000000000002","T"
"29.2","F"
"32.2","F"
"35.3","T"
"29.300000000000004","F"
"34.6","T"
"27.099999999999994","T"
