Path_len,Reached,Total Length,Count Length,
26.200000000000003,T,5383.2,340,15.83294118
31.3,T,,,
26.8,F,,,
30.8,F,,,
28.700000000000003,T,,,
27.800000000000004,T,,,
32.79999999999999,T,,,
38.3,F,,,
27,T,,,
28.799999999999997,T,,,
30.099999999999998,T,,,
24.9,T,,,
31.599999999999998,T,,,
25.100000000000005,T,,,
30.5,T,,,
29.9,F,,,
29.199999999999996,T,,,
29.800000000000004,T,,,
29.3,T,,,
26.2,T,,,
25.699999999999996,T,,,
27.000000000000004,T,,,
32.5,F,,,
26.999999999999996,T,,,
27.4,T,,,
26.700000000000003,T,,,
28.300000000000004,T,,,
32.00000000000001,F,,,
28.5,T,,,
29.6,T,,,
31,T,,,
28.4,T,,,
35.3,F,,,
28.8,T,,,
32.4,T,,,
34.3,F,,,
27.1,F,,,
28.2,T,,,
37,T,,,
25.9,T,,,
28.7,T,,,
25.299999999999997,T,,,
25.5,T,,,
27.999999999999996,F,,,
28.099999999999998,F,,,
28.200000000000003,F,,,
30.8,T,,,
27.5,F,,,
29.599999999999994,F,,,
31.299999999999997,T,,,
25.799999999999997,T,,,
34,F,,,
24.799999999999997,F,,,
27.400000000000002,T,,,
28.6,T,,,
27.300000000000004,T,,,
25.300000000000004,T,,,
35.099999999999994,T,,,
26.400000000000002,F,,,
25.499999999999996,F,,,
29.900000000000006,T,,,
26.599999999999998,T,,,
26.6,T,,,
29.599999999999998,F,,,
28.2,F,,,
29.099999999999994,F,,,
26.700000000000003,T,,,
29.199999999999996,T,,,
25.499999999999996,T,,,
27.2,T,,,
31.9,T,,,
28,T,,,
35.199999999999996,T,,,
30.4,F,,,
30.1,T,,,
29.5,F,,,
25.1,T,,,
36.9,T,,,
27.099999999999994,F,,,
31.9,F,,,
30.599999999999998,T,,,
32.099999999999994,T,,,
30.800000000000004,T,,,
30.300000000000004,T,,,
31.9,F,,,
28.3,F,,,
25.700000000000003,F,,,
33.1,F,,,
25.5,T,,,
27.999999999999996,F,,,
26.299999999999997,T,,,
30.099999999999998,T,,,
33.3,T,,,
29.5,T,,,
32.3,T,,,
27,T,,,
28.300000000000004,T,,,
35.1,F,,,
27.1,F,,,
32.1,T,,,
26.199999999999996,T,,,
32.4,T,,,
35.9,T,,,
28.900000000000002,T,,,
28.1,T,,,
28.299999999999997,T,,,
35.00000000000001,T,,,
32.60000000000001,T,,,
36.5,F,,,
26.7,T,,,
33.099999999999994,T,,,
27.7,F,,,
25.800000000000004,T,,,
27.2,T,,,
32.7,F,,,
27.499999999999996,F,,,
31.200000000000003,T,,,
29.600000000000005,T,,,
26.3,F,,,
32,F,,,
26.500000000000004,T,,,
29.1,T,,,
24.3,F,,,
27.299999999999997,T,,,
27.499999999999996,T,,,
32.2,T,,,
30.299999999999997,T,,,
27.6,F,,,
35.800000000000004,T,,,
35.3,F,,,
26.5,T,,,
28.599999999999998,T,,,
24.699999999999996,F,,,
44.8,F,,,
37.9,T,,,
29.299999999999997,T,,,
27.4,T,,,
27.5,T,,,
32.3,T,,,
27.4,T,,,
30.499999999999996,T,,,
33.8,T,,,
30.7,T,,,
31.4,F,,,
30,F,,,
29.900000000000002,T,,,
25.400000000000006,T,,,
26.300000000000004,F,,,
32.9,F,,,
33.3,T,,,
27.6,T,,,
34.8,T,,,
36.900000000000006,T,,,
26.799999999999997,F,,,
31.099999999999998,T,,,
29.4,T,,,
27,T,,,
27.800000000000008,T,,,
29.8,T,,,
31.200000000000003,T,,,
24.900000000000002,T,,,
26.799999999999997,T,,,
34.8,T,,,
28.400000000000006,T,,,
28,T,,,
27.500000000000007,F,,,
26.5,T,,,
28.800000000000004,T,,,
25.5,T,,,
31.200000000000003,F,,,
29.599999999999998,T,,,
27.4,F,,,
32.5,T,,,
29.499999999999996,T,,,
28.6,T,,,
26.6,F,,,
28.299999999999997,T,,,
26.199999999999996,T,,,
27.599999999999998,F,,,
31.5,T,,,
30.9,T,,,
27.600000000000005,T,,,
28.2,T,,,
29.599999999999998,F,,,
29.5,T,,,
25.5,F,,,
28.499999999999993,F,,,
29.9,T,,,
32.8,T,,,
28.6,F,,,
26.5,T,,,
27.200000000000003,T,,,
29.400000000000002,F,,,
29.099999999999998,T,,,
27.2,T,,,
29.200000000000003,F,,,
34.699999999999996,T,,,
28.400000000000002,T,,,
27.800000000000004,T,,,
28.5,T,,,
31.2,F,,,
25.700000000000003,F,,,
33,F,,,
32.199999999999996,F,,,
26.600000000000005,F,,,
37.1,F,,,
31.799999999999997,T,,,
29.799999999999997,T,,,
28.5,T,,,
31.2,T,,,
26.300000000000004,T,,,
30.799999999999997,F,,,
30.400000000000002,T,,,
29.6,T,,,
27.8,T,,,
25.5,T,,,
26.099999999999998,F,,,
30.700000000000003,T,,,
26.5,T,,,
31,T,,,
27.000000000000004,T,,,
28.6,F,,,
28.999999999999996,T,,,
27.799999999999997,F,,,
28,T,,,
25.799999999999997,T,,,
25,F,,,
29,F,,,
36.7,T,,,
28.299999999999997,F,,,
30,T,,,
30.599999999999998,T,,,
26.6,T,,,
26.1,T,,,
28,T,,,
34,T,,,
26.900000000000006,F,,,
27.700000000000003,T,,,
35.5,T,,,
32.9,T,,,
31.7,T,,,
30,T,,,
26,T,,,
33.1,T,,,
33.5,T,,,
27.700000000000003,T,,,
30.500000000000004,T,,,
25.8,F,,,
36.2,T,,,
27.6,T,,,
30.1,T,,,
30.5,T,,,
31.400000000000002,T,,,
30.10000000000001,F,,,
30.6,F,,,
30.099999999999998,T,,,
33.1,F,,,
28,F,,,
26,T,,,
26.299999999999997,T,,,
31.099999999999998,T,,,
29.400000000000002,T,,,
27,T,,,
27.5,T,,,
27.8,F,,,
28.7,F,,,
30.400000000000002,F,,,
28.500000000000004,T,,,
38.8,T,,,
26.7,F,,,
27.100000000000005,F,,,
31.700000000000003,F,,,
33.2,F,,,
36.9,T,,,
29.799999999999997,F,,,
35.3,F,,,
27.700000000000003,T,,,
25.8,T,,,
28.300000000000004,T,,,
29.499999999999996,T,,,
29.6,T,,,
30.5,T,,,
29.9,T,,,
35.1,T,,,
28.100000000000005,T,,,
32.3,T,,,
27.400000000000006,T,,,
30.7,F,,,
32.4,T,,,
27.1,T,,,
26.3,T,,,
29.6,F,,,
26.4,F,,,
30.800000000000004,F,,,
34.8,F,,,
30.800000000000004,T,,,
30.1,F,,,
34.199999999999996,F,,,
30.5,T,,,
28.100000000000005,T,,,
29.499999999999993,T,,,
33.6,T,,,
33.6,F,,,
36.400000000000006,T,,,
27.1,T,,,
27.900000000000002,T,,,
37.5,T,,,
35.2,F,,,
28.6,T,,,
31.499999999999996,T,,,
25.8,T,,,
26.200000000000003,T,,,
28.399999999999995,F,,,
29.700000000000003,T,,,
33.3,T,,,
27,T,,,
32.6,F,,,
25.8,T,,,
26.5,T,,,
27.300000000000004,T,,,
29.4,T,,,
24.699999999999996,F,,,
27.6,F,,,
26.1,T,,,
33.099999999999994,F,,,
27.599999999999998,F,,,
28,T,,,
28.599999999999998,T,,,
28.7,T,,,
29.5,T,,,
28.300000000000004,F,,,
28.099999999999998,T,,,
30.6,T,,,
28.999999999999996,T,,,
28.200000000000003,T,,,
33.4,T,,,
27.999999999999996,T,,,
32.1,T,,,
27.700000000000003,T,,,
33.2,T,,,
29.300000000000004,T,,,
32.400000000000006,F,,,
29,T,,,
29.6,F,,,
25.900000000000002,F,,,
33.5,T,,,
29.7,T,,,
32.1,T,,,
36.1,T,,,
29.400000000000002,T,,,
28.9,T,,,
30.200000000000003,T,,,
28.800000000000004,T,,,
36.900000000000006,T,,,
36.60000000000001,T,,,
28.900000000000002,T,,,
31.3,T,,,
27.700000000000003,T,,,
36.3,T,,,
36.3,T,,,
36.8,T,,,
36.4,T,,,
31,T,,,
29.6,F,,,
29.6,T,,,
30,T,,,
28.700000000000003,T,,,
31.400000000000002,T,,,
31,T,,,
27.7,F,,,
28.599999999999998,T,,,
29,T,,,
34.800000000000004,T,,,
30.000000000000004,F,,,
28.200000000000003,T,,,
32.3,T,,,
33.699999999999996,T,,,
29,T,,,
32.599999999999994,T,,,
25.3,T,,,
31.1,F,,,
25.099999999999994,F,,,
30.500000000000004,T,,,
29.400000000000002,F,,,
28.1,F,,,
29.999999999999996,F,,,
28.6,T,,,
29,T,,,
30.199999999999996,T,,,
29.4,T,,,
25.900000000000002,F,,,
32.1,F,,,
28.4,T,,,
24.400000000000002,F,,,
28.399999999999995,F,,,
28.299999999999997,T,,,
30.599999999999998,T,,,
27.300000000000004,F,,,
29.5,T,,,
32.300000000000004,T,,,
26.3,T,,,
31.800000000000004,F,,,
29.5,F,,,
25.400000000000006,T,,,
29.400000000000002,T,,,
26.700000000000003,F,,,
26.6,T,,,
28.900000000000006,T,,,
30.4,T,,,
30.9,F,,,
30.7,T,,,
27.9,T,,,
29.699999999999996,F,,,
29.4,T,,,
27.5,T,,,
32.900000000000006,T,,,
28.799999999999997,T,,,
31.200000000000003,T,,,
27.4,T,,,
27.2,T,,,
31.1,T,,,
33.9,F,,,
32,T,,,
30.200000000000003,T,,,
26.099999999999998,F,,,
29.000000000000004,F,,,
29.399999999999995,T,,,
28.200000000000003,T,,,
33.199999999999996,F,,,
32.9,F,,,
30.700000000000003,F,,,
30.4,F,,,
38.099999999999994,F,,,
32,T,,,
33.2,F,,,
30.4,T,,,
31.6,F,,,
27.7,F,,,
27.099999999999998,F,,,
33.199999999999996,T,,,
32.8,F,,,
34.4,T,,,
28.1,F,,,
33.4,F,,,
25.5,F,,,
32.5,T,,,
32.49999999999999,T,,,
35.89999999999999,F,,,
27.899999999999995,T,,,
24.699999999999996,F,,,
29.299999999999997,T,,,
26.199999999999996,F,,,
25.200000000000003,T,,,
26.300000000000004,F,,,
28.299999999999997,T,,,
30.4,T,,,
28.300000000000004,T,,,
25.199999999999996,F,,,
26,T,,,
41.5,F,,,
34.99999999999999,F,,,
25.1,F,,,
28.7,T,,,
32.099999999999994,T,,,
31.400000000000002,T,,,
31.000000000000004,T,,,
27.900000000000002,T,,,
34.900000000000006,F,,,
29,T,,,
29.699999999999996,T,,,
27.099999999999998,F,,,
31.600000000000005,F,,,
28.8,T,,,
27.800000000000004,T,,,
29.400000000000002,T,,,
38.400000000000006,F,,,
29.1,T,,,
25.4,F,,,
25.200000000000003,F,,,
31.699999999999996,F,,,
31.400000000000002,T,,,
29.9,F,,,
26.7,T,,,
28,T,,,
28.399999999999995,T,,,
28.6,T,,,
27.599999999999998,F,,,
34.300000000000004,F,,,
29.200000000000003,T,,,
27,T,,,
25.4,T,,,
30.099999999999998,T,,,
31.100000000000005,T,,,
29.9,T,,,
29.000000000000004,F,,,
34.599999999999994,T,,,
28.2,T,,,
29.700000000000006,F,,,
25.699999999999996,T,,,
31.2,T,,,
