Path_len,Reached,Total_Length,Num_Iters,Avg_Length
27.8,T,7847.9,476,16.48718487
28.6,T,,,
31.6,T,,,
32.4,T,,,
37.3,F,,,
33.9,F,,,
32.1,T,,,
29.799999999999997,T,,,
35.5,T,,,
25.1,T,,,
31.299999999999997,F,,,
28.8,T,,,
31,T,,,
30.4,T,,,
30.2,T,,,
28,T,,,
37.800000000000004,T,,,
29.799999999999997,T,,,
31.700000000000003,T,,,
36.4,T,,,
32.1,T,,,
30,T,,,
29.1,T,,,
30.5,T,,,
28.000000000000004,T,,,
28.299999999999997,T,,,
29.3,T,,,
33.6,T,,,
25,T,,,
35.199999999999996,T,,,
27.9,T,,,
36,T,,,
33.6,T,,,
33.1,T,,,
27.4,T,,,
30.8,T,,,
25.499999999999993,T,,,
32.50000000000001,T,,,
31.299999999999997,T,,,
29.7,T,,,
29.2,T,,,
34.199999999999996,T,,,
28.099999999999998,T,,,
29.699999999999996,T,,,
30,T,,,
32.2,T,,,
26.400000000000002,T,,,
30.800000000000004,T,,,
25.599999999999998,T,,,
27.500000000000004,T,,,
30.300000000000004,T,,,
28.7,T,,,
31.099999999999994,T,,,
34.9,F,,,
27.9,F,,,
32.6,T,,,
34.50000000000001,T,,,
27.5,T,,,
28.900000000000002,F,,,
28.8,T,,,
26.800000000000004,T,,,
27.199999999999996,T,,,
33.7,T,,,
28.400000000000006,T,,,
30.400000000000002,T,,,
37.4,T,,,
29.300000000000004,T,,,
25.6,T,,,
26.5,T,,,
31.399999999999995,T,,,
30.9,T,,,
36.7,T,,,
28.000000000000004,T,,,
26.799999999999997,T,,,
35.9,T,,,
32.4,T,,,
26.799999999999997,T,,,
30.7,T,,,
38.599999999999994,T,,,
31.499999999999996,T,,,
32,T,,,
27.600000000000005,T,,,
28.9,T,,,
26.2,T,,,
27.800000000000004,T,,,
29.6,T,,,
27.4,T,,,
27.699999999999996,T,,,
28.700000000000003,T,,,
28.5,T,,,
26.800000000000004,T,,,
36.1,T,,,
34.9,T,,,
35.1,T,,,
29.9,T,,,
31,T,,,
29.3,T,,,
32.8,T,,,
26.599999999999998,T,,,
29.4,T,,,
31.800000000000004,T,,,
26.8,T,,,
33.60000000000001,T,,,
34.7,T,,,
27.300000000000004,T,,,
31.599999999999994,T,,,
29.9,T,,,
27.099999999999998,T,,,
29.099999999999998,T,,,
30.7,T,,,
33.2,T,,,
27.5,T,,,
32.8,T,,,
27.4,T,,,
25.4,T,,,
29.1,T,,,
26.099999999999998,T,,,
31.6,T,,,
34.5,F,,,
34.3,T,,,
32.5,T,,,
25.799999999999997,T,,,
29.7,T,,,
25.799999999999997,T,,,
29.5,T,,,
28.4,T,,,
29.6,T,,,
25.800000000000004,T,,,
28.099999999999994,T,,,
27,T,,,
25.900000000000002,T,,,
26.499999999999993,T,,,
41.7,T,,,
31.000000000000007,T,,,
35.4,T,,,
26.6,T,,,
33.300000000000004,T,,,
26.499999999999996,F,,,
32.5,T,,,
32.400000000000006,T,,,
28.900000000000006,T,,,
27,T,,,
28.400000000000002,T,,,
34.6,T,,,
38.099999999999994,F,,,
34.5,T,,,
27.700000000000003,T,,,
28.5,T,,,
26.799999999999997,T,,,
29.800000000000004,F,,,
31.4,T,,,
32.2,T,,,
29.199999999999996,T,,,
37.8,T,,,
26,T,,,
29.999999999999996,T,,,
32.8,T,,,
33.7,T,,,
30.999999999999996,T,,,
32.2,T,,,
30.6,T,,,
30.599999999999998,T,,,
32.800000000000004,T,,,
27.6,T,,,
26.400000000000002,T,,,
30.299999999999997,T,,,
31.400000000000002,T,,,
31.9,T,,,
30,T,,,
25.099999999999998,T,,,
29.800000000000004,T,,,
39.6,T,,,
28.2,T,,,
32.900000000000006,T,,,
29.299999999999997,T,,,
36.900000000000006,T,,,
26.2,T,,,
29.7,T,,,
31.300000000000004,T,,,
33.800000000000004,T,,,
27.6,T,,,
25.400000000000002,T,,,
28.300000000000004,T,,,
28.299999999999997,T,,,
27.500000000000004,T,,,
28.9,T,,,
34.9,T,,,
27.4,T,,,
28.900000000000002,T,,,
30.400000000000002,T,,,
29.9,T,,,
33.4,T,,,
26.1,T,,,
29.200000000000003,T,,,
28.7,T,,,
28.6,T,,,
26.599999999999994,T,,,
30.200000000000003,T,,,
28,T,,,
34.199999999999996,T,,,
36.400000000000006,T,,,
30.599999999999994,T,,,
31.7,T,,,
26.9,T,,,
28.999999999999993,T,,,
30.6,T,,,
27.400000000000002,T,,,
28,T,,,
28.1,T,,,
27.7,T,,,
32.9,T,,,
28.6,T,,,
31.700000000000003,F,,,
32.1,T,,,
29.1,T,,,
29.700000000000003,T,,,
30.6,T,,,
27.900000000000002,T,,,
27.8,T,,,
26.499999999999993,T,,,
30.100000000000005,T,,,
27.599999999999998,T,,,
32.699999999999996,T,,,
32.699999999999996,T,,,
26.200000000000003,T,,,
28.4,T,,,
27.799999999999997,T,,,
29.700000000000006,T,,,
31.499999999999996,T,,,
30.400000000000002,T,,,
29.4,T,,,
30.8,T,,,
29.000000000000007,T,,,
28.1,T,,,
37.400000000000006,T,,,
27.9,T,,,
30.099999999999998,T,,,
27.9,F,,,
29.4,T,,,
33.800000000000004,T,,,
26.4,T,,,
31.099999999999998,T,,,
27.699999999999996,T,,,
29.4,T,,,
32.1,T,,,
37.1,T,,,
29.300000000000004,T,,,
28.2,T,,,
30.300000000000004,T,,,
30.500000000000004,T,,,
25.799999999999997,T,,,
26.599999999999998,T,,,
27.4,T,,,
29.000000000000004,T,,,
29.1,T,,,
26.89999999999999,T,,,
27.999999999999996,T,,,
26.7,T,,,
34.3,F,,,
26.6,T,,,
33.4,T,,,
31.700000000000003,T,,,
26.200000000000003,T,,,
30.299999999999997,T,,,
27.2,T,,,
28.799999999999997,T,,,
32.5,T,,,
33.00000000000001,T,,,
27.9,T,,,
28,T,,,
31.799999999999994,T,,,
29.4,T,,,
34.1,T,,,
37.1,T,,,
30.7,T,,,
29.099999999999998,T,,,
29.800000000000004,T,,,
26.700000000000003,T,,,
38.00000000000001,T,,,
28.8,T,,,
25.8,T,,,
27.299999999999997,T,,,
29.200000000000003,T,,,
30.6,T,,,
26.7,T,,,
26.4,T,,,
36.400000000000006,T,,,
26.400000000000002,T,,,
29.5,T,,,
28.599999999999998,T,,,
31.6,T,,,
26.6,T,,,
40.900000000000006,T,,,
25.5,T,,,
31.400000000000002,T,,,
28.4,T,,,
30.199999999999996,T,,,
31.2,T,,,
30.200000000000003,T,,,
25.5,T,,,
33.4,T,,,
30.300000000000004,T,,,
31.6,T,,,
29.899999999999995,T,,,
31.600000000000005,T,,,
25.599999999999998,T,,,
29.899999999999995,T,,,
27.700000000000003,T,,,
25.799999999999997,T,,,
31.700000000000003,F,,,
37.2,T,,,
29.099999999999994,T,,,
26.199999999999996,T,,,
31.1,T,,,
26.5,T,,,
34.7,T,,,
34.9,T,,,
32.7,T,,,
34.4,T,,,
28.799999999999997,T,,,
26.900000000000002,T,,,
32,T,,,
28.1,T,,,
28.200000000000003,T,,,
31.400000000000002,T,,,
28.6,T,,,
28.9,T,,,
35.3,T,,,
28,T,,,
30.800000000000004,T,,,
31.700000000000003,T,,,
25.4,T,,,
28,T,,,
31.599999999999998,T,,,
26.9,T,,,
30.4,T,,,
28.199999999999996,F,,,
34.1,F,,,
27.7,T,,,
26.900000000000002,T,,,
33.7,T,,,
35.6,T,,,
31.299999999999997,T,,,
25.899999999999995,T,,,
27.200000000000006,T,,,
27.300000000000004,T,,,
28.300000000000004,T,,,
35.7,T,,,
28.799999999999997,T,,,
34.300000000000004,T,,,
27,T,,,
32.1,T,,,
30,T,,,
29.6,T,,,
27.6,T,,,
30.2,T,,,
36.6,F,,,
25.599999999999994,T,,,
28.4,T,,,
35.4,T,,,
36.1,T,,,
28.6,T,,,
29.099999999999998,T,,,
27.3,T,,,
31.7,T,,,
33.6,T,,,
33.6,T,,,
33.10000000000001,T,,,
35.4,T,,,
28.9,T,,,
32.1,T,,,
30.300000000000004,T,,,
31.3,T,,,
31,T,,,
28,T,,,
31.299999999999997,T,,,
26.4,T,,,
27.599999999999998,T,,,
26.500000000000004,T,,,
33.1,T,,,
35.599999999999994,T,,,
31.9,T,,,
31.6,T,,,
37.099999999999994,T,,,
33.199999999999996,F,,,
27.6,T,,,
30.800000000000004,T,,,
33.50000000000001,T,,,
29.1,T,,,
29.599999999999998,T,,,
25.3,T,,,
25,T,,,
30.799999999999997,T,,,
28.200000000000003,T,,,
28.8,T,,,
27.800000000000004,T,,,
34.7,T,,,
34.300000000000004,T,,,
27,T,,,
39,T,,,
25.700000000000003,T,,,
29.8,T,,,
33.9,T,,,
32.7,T,,,
28.099999999999998,T,,,
30.800000000000004,T,,,
30.099999999999994,T,,,
27.1,T,,,
34,T,,,
28.1,T,,,
30.5,T,,,
25.1,T,,,
34.3,F,,,
27.099999999999998,T,,,
30.200000000000006,T,,,
28.900000000000006,T,,,
30.1,T,,,
26.799999999999997,T,,,
30.900000000000002,T,,,
27.8,T,,,
27.500000000000007,T,,,
33.3,T,,,
30.200000000000006,T,,,
34.2,F,,,
33.6,T,,,
30.199999999999996,T,,,
34.8,T,,,
25.799999999999997,T,,,
33,T,,,
28,T,,,
26.5,T,,,
29.2,T,,,
26.700000000000003,T,,,
26.099999999999998,T,,,
27.7,T,,,
34.7,T,,,
35.8,T,,,
28.099999999999998,F,,,
29.800000000000004,T,,,
33.60000000000001,T,,,
31.099999999999998,T,,,
31.700000000000003,T,,,
34.1,T,,,
29.6,F,,,
30.700000000000003,T,,,
26.999999999999996,T,,,
37.20000000000001,T,,,
27.5,T,,,
27.799999999999997,T,,,
28.2,T,,,
34.199999999999996,T,,,
26.1,T,,,
32.7,T,,,
28.299999999999997,T,,,
27.199999999999996,T,,,
31.4,T,,,
30.2,T,,,
27.799999999999994,T,,,
25.5,T,,,
33.5,T,,,
26.700000000000003,T,,,
27.299999999999997,T,,,
32.7,T,,,
27.199999999999996,T,,,
25.099999999999994,T,,,
33.6,T,,,
25.9,T,,,
26.200000000000003,T,,,
31.1,T,,,
35.5,T,,,
28.5,F,,,
26.699999999999996,T,,,
36.50000000000001,T,,,
25.7,T,,,
29.4,T,,,
25.900000000000002,T,,,
27.500000000000004,T,,,
29.3,T,,,
30.3,T,,,
25.499999999999996,T,,,
30.400000000000002,T,,,
26.599999999999998,T,,,
29.1,T,,,
25,T,,,
30.7,T,,,
32.2,T,,,
40.3,F,,,
38,T,,,
37.400000000000006,T,,,
26.599999999999998,T,,,
28.900000000000006,T,,,
37.5,T,,,
37.300000000000004,T,,,
31.10000000000001,T,,,
34.10000000000001,T,,,
28.900000000000002,T,,,
27.400000000000002,T,,,
38.5,T,,,
32.1,T,,,
29.700000000000003,T,,,
